Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[environment type]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Factor Value[region]
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles arabiensis	NCBITAXON	NCBITaxon:7173	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles arabiensis_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			funestus group	NCBITAXON	NCBITaxon:59142	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	funestus group_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles gambiae	NCBITAXON	NCBITaxon:7165	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles gambiae_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			gambiae species complex	NCBITAXON	NCBITaxon:44542	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	gambiae species complex_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles funestus	NCBITAXON	NCBITaxon:62324	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles funestus_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles nili	NCBITAXON	NCBITaxon:185578	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles nili_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles moucheti	NCBITAXON	NCBITaxon:186751	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles moucheti_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			nili species complex	NCBITAXON	NCBITaxon:185574	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	nili species complex_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles melas	NCBITAXON	NCBITaxon:34690	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles melas_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles gambiae (Forest)	NCBITAXON		anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles gambiae Forest_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles gambiae M	NCBITAXON	NCBITaxon:377271	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles gambiae M_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles merus	NCBITAXON	NCBITaxon:30066	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles merus_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles ovengensis	NCBITAXON	NCBITaxon:1280485	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles ovengensis_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles carnevalei	NCBITAXON	NCBITaxon:185577	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles carnevalei_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles gambiae S	NCBITAXON	NCBITaxon:377270	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles gambiae S_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles gambiae (Savanna)	NCBITAXON		anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles gambiae Savanna_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles gambiae (Bamako)	NCBITAXON		anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles gambiae Bamako_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles gambiae (Mopti)	NCBITAXON		anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles gambiae Mopti_Africa	Africa
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles albimanus	NCBITAXON	NCBITaxon:7167	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles albimanus_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles darlingi	NCBITAXON	NCBITaxon:43151	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles darlingi_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			pseudopunctipennis group	NCBITAXON	NCBITaxon:44516	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	pseudopunctipennis group_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles nuneztovari complex	NCBITAXON		anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles nuneztovari complex_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			albitarsis group	NCBITAXON	NCBITaxon:58234	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	albitarsis group_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles aquasalis	NCBITAXON	NCBITaxon:42839	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles aquasalis_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles marajoara	NCBITAXON	NCBITaxon:58244	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles marajoara_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles janconnae	NCBITAXON	NCBITaxon:337448	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles janconnae_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles nuneztovari(Sp. B/C)	NCBITAXON		anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles nuneztovariSp B/C_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles albitarsis	NCBITAXON	NCBITaxon:58236	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles albitarsis_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles oryzalimnetes	NCBITAXON	NCBITaxon:58237	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles oryzalimnetes_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			quadrimaculatus species complex	NCBITAXON	NCBITaxon:44532	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	quadrimaculatus species complex_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles quadrimaculatus	NCBITAXON	NCBITaxon:7166	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles quadrimaculatus_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles freeborni	NCBITAXON	NCBITaxon:7170	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles freeborni_Americas	Americas
MAP DVS database, PubMed and Web of Science searches	literature search			Anopheles arabiensis	NCBITAXON	NCBITaxon:7173	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	Anopheles arabiensis_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			annularis species complex	NCBITAXON	NCBITaxon:348691	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	annularis species complex_Asia Pacific	Asia Pacific
MAP DVS database, PubMed and Web of Science searches	literature search			culicifacies species complex	NCBITAXON	NCBITaxon:63408	anthropogenic habitat	ENVO	ENVO:00002031	Published data searches	Data extraction	culicifacies species complex_Asia Pacific	Asia Pacific
