Sample Name	Protocol REF	Protocol REF	Assay Name	Raw Data File	Comment [Data Repository]	Comment [Data Record Accession]	Comment [Data Record URI]	Factor Value[region]
Anopheles arabiensis_Africa	Site geo-positioning	Bionomics datasets	Anopheles arabiensis_Africa	Bionomics Africa.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Africa
funestus group_Africa	Site geo-positioning	Bionomics datasets	Anopheles funestus complex_Africa	Bionomics Africa.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Africa
Anopheles gambiae_Africa	Site geo-positioning	Bionomics datasets	Anopheles gambiae_Africa	Bionomics Africa.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Africa
gambiae species complex_Africa	Site geo-positioning	Bionomics datasets	Anopheles gambiae complex_Africa	Bionomics Africa.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Africa
Anopheles funestus_Africa	Site geo-positioning	Bionomics datasets	Anopheles funestus_Africa	Bionomics Africa.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Africa
Anopheles nili_Africa	Site geo-positioning	Bionomics datasets	Anopheles nili_Africa	Bionomics Africa.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Africa
Anopheles moucheti_Africa	Site geo-positioning	Bionomics datasets	Anopheles moucheti_Africa	Bionomics Africa.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Africa
nili species complex_Africa	Site geo-positioning	Bionomics datasets	Anopheles nili complex_Africa	Bionomics Africa.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Africa
Anopheles melas_Africa	Site geo-positioning	Bionomics datasets	Anopheles melas_Africa	Bionomics Africa.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Africa
Anopheles gambiae Forest_Africa	Site geo-positioning	Bionomics datasets	Anopheles gambiae (Forest)_Africa	Bionomics Africa.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Africa
Anopheles gambiae M_Africa	Site geo-positioning	Bionomics datasets	Anopheles gambiae (Form M)_Africa	Bionomics Africa.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Africa
Anopheles merus_Africa	Site geo-positioning	Bionomics datasets	Anopheles merus_Africa	Bionomics Africa.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Africa
