source_id;country;site;species;variable;value;pubmed_id;reference
2408;Vietnam;Lang Nhot;Anopheles aconitus;AI;0.01;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Khoi;Anopheles vagus;AI;0.02;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Village 3;Anopheles varuna;AI;0.02;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Khoi;Anopheles kochi;AI;0.03;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Lang Nhot;Anopheles philippinensis;AI;0.05;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Lang Nhot;Anopheles crawfordi;AI;0.06;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Village 3;Anopheles aconitus;AI;0.07;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Na Ang;Anopheles vagus;AI;0.07;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Cha Ong Chan;Anopheles karwari;AI;0.08;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Lang Nhot;Anopheles peditaeniatus;AI;0.08;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Khoi;Anopheles tessellatus;AI;0.08;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Khoi;Anopheles aconitus;AI;0.09;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Khoi;Anopheles minimus C;AI;0.09;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Village 3;Anopheles nivipes;AI;0.09;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
2408;Vietnam;Khoi;Anopheles minimus;AI;0.1;15730510;Trung, H.D., Bortel, W.V., Sochantha, T., Keokenchanh, K., Briët, O.J. and Coosemans, M. (2005).  Behavioural heterogeneity of Anopheles species in ecologically different localities in Southeast Asia: a challenge for vector control. Tropical Medicine & International Health, 10(3):251-62
