Net_type;species;pAtt_baseFactor;pAtt_holeFactor;pAtt_insecticideFactor;pAtt_interactionFactor;pAtt_holeScalingFactor;pAtt_insecticideScalingFactor;pBmui_baseFactor;pBmui_holeFactor;pBmui_insecticideFactor;pBmui_interactionFactor;pBmui_holeScalingFactor;pBmui_insecticideScalingFactor;pEnt_insecticideFactor;pEnt_insecticideScalingFactor;pCmui_baseFactor;pCmui_insecticideFactor;pCmui_insecticideScalingFactor
Olyset;;0.879782756;-0.588437224;0.118464887;0.59018958;0.081274123;0.2;6.89E-16;0.04369562;0.203185901;0.753118205;0.003438916;0.162139329;0.144804972;0.162240882;0.019761635;0.980238365;0.250454686
Lifenet;;0.984716804;-0.610279426;-0.010330094;0.635892715;0.011654915;0.241007554;6.14E-16;0.105857853;0.236418721;0.657723426;0.001743896;0.3;0.155327346;0.27225181;0.018381593;0.981614854;0.406802334
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
