Recd;Study;Site ;Species;variable;value;;;;
270;Dev;Assam;dirus;IR/IB;5.128;;;;
268;Dev;Assam;minimus;IR/IB;162.464;;;;
269;Dev;Assam;philippinensis;IR/IB;3.252;;;;
231;Bashar;Bangladesh;annularis;HBI;0.375;;;;
6;Trung;Khoi;annularis;IB/(IB+OB);0.048;;;;
244;Bashar;Bangladesh;baimai;HBI;0.800;;;;
8;Trung;Khoi;philippinensis;IB/(IB+OB);0.057;;;;
232;Bashar;Bangladesh;barbirostris;HBI;0.046;;;;
14;Trung;Na Ang;maculatus;IB/(IB+OB);0.074;;;;
233;Bashar;Bangladesh;jamesii;HBI;0.333;;;;
20;Trung;Na Ang;philippinensis;IB/(IB+OB);0.099;;;;
234;Bashar;Bangladesh;karwari;HBI;0.034;;;;
24;Trung;Khoi;maculatus;IB/(IB+OB);0.107;;;;
235;Bashar;Bangladesh;kochi;HBI;0.000;;;;
26;Trung;Khoi;splendidus;IB/(IB+OB);0.107;;;;
236;Bashar;Bangladesh;maculatus;HBI;0.267;;;;
25;Trung;Lang Nhot;maculatus;IB/(IB+OB);0.107;;;;
237;Bashar;Bangladesh;minimus;HBI;0.436;;;;
28;Trung;Lang Nhot;aconitus;IB/(IB+OB);0.115;;;;
245;Bashar;Bangladesh;nigerrimus;HBI;0.000;;;;
29;Trung;Na Ang;barbirostris;IB/(IB+OB);0.115;;;;
238;Bashar;Bangladesh;pallidus;HBI;0.333;;;;
30;Trung;Cha Ong Chan;barbirostris;IB/(IB+OB);0.123;;;;
239;Bashar;Bangladesh;peditaeniatus;HBI;0.064;;;;
36;Trung;Na Ang;pallidus;IB/(IB+OB);0.138;;;;
240;Bashar;Bangladesh;philippinensis;HBI;0.184;;;;
35;Trung;Village 3;maculatus;IB/(IB+OB);0.138;;;;
241;Bashar;Bangladesh;subpictus;HBI;0.121;;;;
38;Trung;Khoi;jeyporiensis;IB/(IB+OB);0.145;;;;
242;Bashar;Bangladesh;umbrosus;HBI;0.046;;;;
39;Trung;Khoi;sinensis;IB/(IB+OB);0.145;;;;
243;Bashar;Bangladesh;vagus;HBI;0.103;;;;
40;Trung;Khoi;tessellatus;IB/(IB+OB);0.145;;;;
41;Trung;Na Ang;nivipes;IB/(IB+OB);0.153;;;;
79;Trung;Cha Ong Chan;aconitus;OB/OA;0.610;;;;
42;Trung;Cha Ong Chan;maculatus;IB/(IB+OB);0.160;;;;
101;Trung;Cha Ong Chan;barbirostris;OB/OA;1.640;;;;
94;Trung;Cha Ong Chan;barbumbrosus;OB/OA;1.100;;;;
44;Trung;Khoi;aconitus;IB/(IB+OB);0.167;;;;
77;Trung;Cha Ong Chan;jamesii;OB/OA;0.600;;;;
45;Trung;Village 3;pampanai;IB/(IB+OB);0.167;;;;
11;Trung;Cha Ong Chan;karwari;OB/OA;0.080;;;;
46;Trung;Village 3;aconitus;IB/(IB+OB);0.174;;;;
88;Trung;Cha Ong Chan;kochi;OB/OA;0.950;;;;
51;Trung;Khoi;vagus;IB/(IB+OB);0.200;;;;
47;Trung;Cha Ong Chan;maculatus;OB/OA;0.240;;;;
50;Trung;Village 3;splendidus;IB/(IB+OB);0.200;;;;
70;Trung;Cha Ong Chan;minimus;OB/OA;0.470;;;;
52;Trung;Na Ang;umbrosus;IB/(IB+OB);0.206;;;;
33;Trung;Cha Ong Chan;philippinensis;OB/OA;0.160;;;;
103;Trung;Cha Ong Chan;umbrosus;OB/OA;2.500;;;;
179;Bashar;Bangladesh;umbrosus;IB/(IB+OB);0.229;;;;
65;Trung;Cha Ong Chan;vagus;OB/OA;0.420;;;;
294;Trung;Cha Ong Chan;aconitus;IR/(totalB);0.000;;;;
300;Trung;Cha Ong Chan;dirus;IR/(totalB);0.000;;;;
305;Trung;Cha Ong Chan;maculatus;IR/(totalB);0.000;;;;
310;Trung;Cha Ong Chan;minimus;IR/(totalB);0.000;;;;
289;Chatterjee;India1;subpictus;HBI;0.410;;;;
290;Chatterjee;India1;subpictus;Survival per cycle;0.580;;;;
288;Chatterjee;India1;subpictus;gonotrophic cycle;4.000;;;;
285;Dutta;India2;dirus;HBI;0.905;;;;
247;Elyazar;Indonesia;aconitus;HBI;0.087;;;;
256;Elyazar;Indonesia;balabacensis;HBI;0.098;;;;
257;Elyazar;Indonesia;bancroftii;HBI;0.900;;;;
248;Elyazar;Indonesia;barbirostris;HBI;0.118;;;;
258;Elyazar;Indonesia;farauti s.l.;HBI;0.900;;;;
259;Elyazar;Indonesia;flaviirostris;HBI;0.091;;;;
249;Elyazar;Indonesia;kochi;HBI;0.106;;;;
260;Elyazar;Indonesia;koliensis;HBI;0.741;;;;
261;Elyazar;Indonesia;leucosphyrus;HBI;0.990;;;;
250;Elyazar;Indonesia;maculatus;HBI;0.315;;;;
262;Elyazar;Indonesia;nigerrimus;HBI;0.072;;;;
263;Elyazar;Indonesia;punctulatus;HBI;0.798;;;;
251;Elyazar;Indonesia;sinensis;HBI;0.780;;;;
252;Elyazar;Indonesia;subpictus;HBI;0.148;;;;
253;Elyazar;Indonesia;sundaicus;HBI;0.538;;;;
254;Elyazar;Indonesia;tessellatus;HBI;0.104;;;;
255;Elyazar;Indonesia;vagus;HBI;0.454;;;;
227;Gunasekaran;India3;fluviatilis;Pr(IR);0.558;;;;
286;Mahmood;India4;culicifacies;gonotrophic cycle;4.000;;;;
287;Mahmood;India4;stephensi;gonotrophic cycle;4.690;;;;
210;Ndoen;Indonesia2;subpictus;Parous rate;0.880;;;;
54;Trung;Lang Nhot;peditaeniatus;IB/(IB+OB);0.237;;;;
266;Sadanandane;India;annularis;IR/IB;1.412;;;;
318;Sadanandane;India;annularis;IR/IB;4.500;;;;
55;Trung;Village 3;dirus;IB/(IB+OB);0.242;;;;
319;Sadanandane;India;culicifacies;IR/IB;442.667;;;;
56;Trung;Village 3;barbirostris;IB/(IB+OB);0.248;;;;
265;Sadanandane;India;fluviatilis;IR/IB;0.215;;;;
320;Sadanandane;India;fluviatilis;IR/IB;0.720;;;;
57;Trung;Cha Ong Chan;aconitus;IB/(IB+OB);0.254;;;;
321;Sadanandane;India;jamesii;IR/IB;1.000;;;;
58;Trung;Village 3;peditaeniatus;IB/(IB+OB);0.254;;;;
264;Sadanandane;India;jeyporiensis;IR/IB;4.245;;;;
322;Sadanandane;India;jeyporiensis;IR/IB;14.684;;;;
60;Trung;Cha Ong Chan;vagus;IB/(IB+OB);0.259;;;;
323;Sadanandane;India;karwari;IR/IB;0.000;;;;
59;Trung;Khoi;minimus C;IB/(IB+OB);0.259;;;;
267;Sadanandane;India;maculatus;IR/IB;0.079;;;;
324;Sadanandane;India;maculatus;IR/IB;0.250;;;;
61;Trung;Cha Ong Chan;hyrcanus;IB/(IB+OB);0.265;;;;
325;Sadanandane;India;nigerrimus;IR/IB;3.231;;;;
62;Trung;Na Ang;hyrcanus;IB/(IB+OB);0.270;;;;
326;Sadanandane;India;pallidus;IR/IB;2.000;;;;
63;Trung;Na Ang;kochi;IB/(IB+OB);0.270;;;;
327;Sadanandane;India;splendidus;IR/IB;4.235;;;;
67;Trung;Cha Ong Chan;kochi;IB/(IB+OB);0.296;;;;
328;Sadanandane;India;subpictus;IR/IB;379.000;;;;
66;Trung;Lang Nhot;crawfordi;IB/(IB+OB);0.296;;;;
329;Sadanandane;India;tessellatus;IR/IB;0.125;;;;
271;Singh;India5;culicifacies;IR/IB;14.838;;;;
215;Singh;India5;culicifacies;Parous rate;0.614;;;;
273;Singh;India5;fluviatilis;IR/IB;10.429;;;;
